epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1654.97,0.56839,0.33809,0.88767,0.93874,0.94,0.96697,0.61492,1.26518,0.91346,1.13375,0.0004853,0.0004853,0.0004853
155,1668.64,0.57508,0.34819,0.90062,0.93925,0.92767,0.96674,0.60225,1.28909,0.84758,1.15851,0.0004754,0.0004754,0.0004754
156,1676.7,0.57937,0.35603,0.90503,0.94947,0.87,0.93049,0.57867,1.38303,0.81941,1.19465,0.0004655,0.0004655,0.0004655
157,1689.38,0.56055,0.34089,0.87473,0.96628,0.85978,0.92072,0.58027,1.35697,0.92264,1.16457,0.0004556,0.0004556,0.0004556
158,1697.89,0.57283,0.34431,0.88246,0.95718,0.83,0.92924,0.58009,1.28068,0.8576,1.13949,0.0004457,0.0004457,0.0004457
159,1709.25,0.56368,0.33769,0.88031,0.92314,0.9,0.95358,0.59683,1.34101,0.8296,1.14636,0.0004358,0.0004358,0.0004358
160,1719.05,0.57267,0.34543,0.88283,0.94589,0.87411,0.95075,0.60329,1.3257,0.89288,1.15905,0.0004259,0.0004259,0.0004259
161,1729.49,0.55052,0.33512,0.87328,0.94237,0.87,0.94723,0.60856,1.30759,0.83348,1.1464,0.000416,0.000416,0.000416
162,1741.43,0.5477,0.34299,0.88115,0.91553,0.9,0.95832,0.60053,1.35427,0.81465,1.15899,0.0004061,0.0004061,0.0004061
163,1750.15,0.55961,0.34403,0.88751,0.90084,0.93,0.95277,0.59315,1.40149,0.83467,1.17653,0.0003962,0.0003962,0.0003962
164,1764.41,0.54448,0.34406,0.88239,0.97777,0.87971,0.94325,0.59175,1.35056,0.79634,1.15359,0.0003863,0.0003863,0.0003863
165,1772.66,0.55274,0.33301,0.8854,0.94634,0.88178,0.94705,0.59461,1.35235,0.81952,1.15079,0.0003764,0.0003764,0.0003764
166,1785.34,0.53639,0.33126,0.87388,0.95003,0.89,0.95522,0.59947,1.34267,0.82393,1.15403,0.0003665,0.0003665,0.0003665
167,1794.11,0.56121,0.33871,0.89451,0.95132,0.9,0.93834,0.59733,1.29297,0.86688,1.13987,0.0003566,0.0003566,0.0003566
168,1805.85,0.53661,0.32561,0.88244,0.95165,0.88,0.93793,0.5834,1.35447,0.8643,1.16081,0.0003467,0.0003467,0.0003467
169,1815.7,0.558,0.32986,0.88291,0.95547,0.87,0.94829,0.59549,1.28624,0.79893,1.14316,0.0003368,0.0003368,0.0003368
170,1826.11,0.53355,0.32043,0.88042,0.96655,0.86694,0.95018,0.60151,1.29923,0.71105,1.15187,0.0003269,0.0003269,0.0003269
171,1837.62,0.52952,0.32507,0.86701,0.97169,0.87,0.93954,0.60587,1.26874,0.70321,1.13822,0.000317,0.000317,0.000317
172,1846.57,0.54915,0.32396,0.8809,0.95255,0.88,0.93319,0.5995,1.32013,0.70709,1.15253,0.0003071,0.0003071,0.0003071
173,1859.93,0.53294,0.31651,0.87582,0.94409,0.87,0.93124,0.5988,1.34874,0.74866,1.15812,0.0002972,0.0002972,0.0002972
174,1868.17,0.5168,0.32362,0.88286,0.9481,0.87,0.93222,0.58994,1.33653,0.77503,1.15413,0.0002873,0.0002873,0.0002873
175,1882,0.5445,0.32404,0.87554,0.97598,0.87,0.94376,0.59476,1.31864,0.77458,1.15218,0.0002774,0.0002774,0.0002774
176,1890.86,0.51814,0.31297,0.87194,0.97253,0.87,0.94581,0.59631,1.3259,0.75781,1.15832,0.0002675,0.0002675,0.0002675
177,1902.67,0.54182,0.32157,0.86858,0.91946,0.91332,0.94666,0.60051,1.32748,0.75473,1.16928,0.0002576,0.0002576,0.0002576
178,1912.88,0.51687,0.32186,0.87871,0.96695,0.87769,0.93988,0.59305,1.40121,0.84629,1.18737,0.0002477,0.0002477,0.0002477
179,1923.41,0.52766,0.32031,0.87133,0.94718,0.89661,0.94768,0.58784,1.41405,0.92966,1.17763,0.0002378,0.0002378,0.0002378
180,1934.29,0.51576,0.31368,0.87485,0.93562,0.87204,0.93964,0.58983,1.4245,0.91039,1.19268,0.0002279,0.0002279,0.0002279
181,1944.11,0.49462,0.30759,0.86556,0.94636,0.88209,0.94559,0.59337,1.42381,0.88383,1.20006,0.000218,0.000218,0.000218
182,1956.55,0.50804,0.31259,0.88198,0.92081,0.9,0.95446,0.59864,1.42236,0.86841,1.1983,0.0002081,0.0002081,0.0002081
