epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1341.41,0.65477,0.39826,0.92161,0.95862,0.92664,0.9714,0.60777,1.36175,0.59461,1.15784,0.0008912,0.0008912,0.0008912
114,1351.08,0.67254,0.40941,0.91779,0.97777,0.87957,0.96214,0.5818,1.35789,0.64256,1.16111,0.0008813,0.0008813,0.0008813
115,1365.61,0.63325,0.40004,0.90987,0.93976,0.93604,0.95428,0.57558,1.47158,0.66687,1.2223,0.0008714,0.0008714,0.0008714
116,1375.16,0.67204,0.40113,0.91552,0.95635,0.89,0.95104,0.58203,1.41702,0.67876,1.18267,0.0008615,0.0008615,0.0008615
117,1389.24,0.66142,0.40302,0.91168,0.96756,0.8948,0.96229,0.58176,1.40293,0.67286,1.18768,0.0008516,0.0008516,0.0008516
118,1398.96,0.64782,0.39926,0.90298,0.9006,0.90601,0.9382,0.56267,1.3909,0.67796,1.1834,0.0008417,0.0008417,0.0008417
119,1413.16,0.63964,0.39905,0.9159,0.95567,0.86235,0.9502,0.56918,1.43646,0.68409,1.20165,0.0008318,0.0008318,0.0008318
120,1422.77,0.63874,0.38613,0.90333,0.95971,0.92,0.97006,0.58764,1.37627,0.61833,1.16991,0.0008219,0.0008219,0.0008219
121,1437.3,0.6069,0.37339,0.90223,0.95938,0.91,0.96389,0.5926,1.31414,0.60006,1.16515,0.000812,0.000812,0.000812
122,1446.48,0.6491,0.38745,0.91131,0.976,0.91,0.96185,0.60028,1.39216,0.63664,1.16646,0.0008021,0.0008021,0.0008021
123,1460.67,0.64973,0.3854,0.89795,0.96323,0.88,0.9548,0.58908,1.38204,0.67254,1.18382,0.0007922,0.0007922,0.0007922
124,1470.09,0.61636,0.36611,0.89635,0.97808,0.8924,0.96244,0.58986,1.3787,0.62375,1.17241,0.0007823,0.0007823,0.0007823
125,1483.87,0.62003,0.36687,0.9019,0.97326,0.9,0.9629,0.59566,1.37403,0.62874,1.1871,0.0007724,0.0007724,0.0007724
126,1493.15,0.62355,0.37168,0.90544,0.93569,0.91,0.95794,0.59228,1.35531,0.61395,1.17538,0.0007625,0.0007625,0.0007625
127,1508.06,0.64264,0.37788,0.90722,0.94413,0.9,0.96014,0.57592,1.38857,0.5988,1.19135,0.0007526,0.0007526,0.0007526
128,1517.41,0.61505,0.37375,0.90043,0.9612,0.9,0.95818,0.58211,1.37141,0.6324,1.16378,0.0007427,0.0007427,0.0007427
129,1531.02,0.64654,0.37699,0.90921,0.96458,0.9,0.96635,0.59756,1.33855,0.63216,1.15617,0.0007328,0.0007328,0.0007328
130,1540.53,0.64599,0.38109,0.90824,0.92654,0.92,0.96084,0.59733,1.38629,0.62959,1.17167,0.0007229,0.0007229,0.0007229
131,1553.64,0.63158,0.38044,0.89878,0.91407,0.91,0.95371,0.58373,1.3776,0.67783,1.17233,0.000713,0.000713,0.000713
132,1563.28,0.62249,0.3668,0.90107,0.98394,0.89,0.96532,0.59025,1.39278,0.66438,1.18231,0.0007031,0.0007031,0.0007031
133,1575.62,0.61357,0.36814,0.89975,0.97045,0.87,0.97056,0.59304,1.33073,0.68073,1.16107,0.0006932,0.0006932,0.0006932
134,1585.98,0.59285,0.35617,0.88588,0.97821,0.89778,0.96482,0.58554,1.34495,0.66776,1.17419,0.0006833,0.0006833,0.0006833
135,1597.59,0.60832,0.36718,0.89247,0.96407,0.89,0.95916,0.59122,1.34759,0.62948,1.18369,0.0006734,0.0006734,0.0006734
136,1609.4,0.61405,0.37347,0.90412,0.95469,0.84,0.94856,0.58969,1.3239,0.67528,1.15886,0.0006635,0.0006635,0.0006635
137,1619.87,0.59789,0.36671,0.89953,0.95695,0.93,0.97322,0.60297,1.36054,0.59184,1.15163,0.0006536,0.0006536,0.0006536
138,1631.87,0.60923,0.36161,0.9135,0.97516,0.94,0.97886,0.58752,1.37903,0.56386,1.17945,0.0006437,0.0006437,0.0006437
139,1642.38,0.56677,0.36125,0.89169,0.96429,0.93,0.9795,0.58367,1.3764,0.60345,1.18153,0.0006338,0.0006338,0.0006338
140,1655.06,0.58104,0.35889,0.89429,0.9564,0.91,0.95922,0.58631,1.33987,0.62638,1.18297,0.0006239,0.0006239,0.0006239
141,1665.08,0.58207,0.34843,0.88132,0.9495,0.9,0.96405,0.58414,1.37912,0.75107,1.18136,0.000614,0.000614,0.000614
142,1677.81,0.56623,0.3421,0.88885,0.90962,0.90587,0.95614,0.57591,1.37239,0.78481,1.18552,0.0006041,0.0006041,0.0006041
143,1687.45,0.57571,0.35193,0.87616,0.9481,0.88,0.96437,0.58714,1.36812,0.69305,1.18379,0.0005942,0.0005942,0.0005942
144,1700.32,0.59811,0.35106,0.88389,0.94575,0.93,0.97064,0.58921,1.40285,0.62737,1.19792,0.0005843,0.0005843,0.0005843
145,1709.86,0.58818,0.35828,0.88594,0.95272,0.89,0.96369,0.57795,1.38246,0.67833,1.1872,0.0005744,0.0005744,0.0005744
146,1723.75,0.5979,0.3484,0.9007,0.95162,0.88,0.96814,0.57944,1.36716,0.70868,1.17481,0.0005645,0.0005645,0.0005645
147,1732.77,0.60163,0.35946,0.89826,0.97776,0.89,0.97741,0.59311,1.34431,0.63151,1.16285,0.0005546,0.0005546,0.0005546
148,1746.31,0.59397,0.35792,0.88775,0.98973,0.86,0.9741,0.59988,1.35135,0.69486,1.16033,0.0005447,0.0005447,0.0005447
149,1755.61,0.5765,0.35726,0.89894,0.9364,0.89,0.9656,0.59274,1.32241,0.7415,1.15777,0.0005348,0.0005348,0.0005348
150,1769.2,0.5655,0.35352,0.89104,0.92101,0.93283,0.97118,0.60672,1.31673,0.63014,1.15403,0.0005249,0.0005249,0.0005249
151,1778.51,0.56144,0.34315,0.89089,0.91415,0.95831,0.97387,0.60869,1.3251,0.59769,1.14691,0.000515,0.000515,0.000515
152,1791.95,0.54163,0.34023,0.87909,0.91799,0.95,0.97552,0.60439,1.3519,0.62295,1.16949,0.0005051,0.0005051,0.0005051
153,1801.28,0.536,0.33368,0.88328,0.93392,0.95,0.97634,0.59322,1.38687,0.63297,1.18733,0.0004952,0.0004952,0.0004952
154,1815.01,0.55132,0.32719,0.88738,0.95768,0.92,0.97587,0.59621,1.36177,0.62757,1.17416,0.0004853,0.0004853,0.0004853
155,1824.61,0.549,0.33849,0.89197,0.9892,0.9163,0.97349,0.59163,1.38306,0.61075,1.17438,0.0004754,0.0004754,0.0004754
156,1837.23,0.56228,0.34192,0.8978,0.9853,0.91,0.96174,0.58208,1.38935,0.62473,1.17874,0.0004655,0.0004655,0.0004655
157,1847.32,0.55125,0.33585,0.87663,0.95787,0.90936,0.96648,0.5914,1.38648,0.63594,1.17957,0.0004556,0.0004556,0.0004556
158,1859.47,0.54213,0.33294,0.87691,0.9868,0.87,0.96485,0.5893,1.36501,0.63975,1.17862,0.0004457,0.0004457,0.0004457
159,1870.42,0.51878,0.31869,0.87178,0.94745,0.90148,0.96956,0.58964,1.39407,0.65854,1.19565,0.0004358,0.0004358,0.0004358
160,1883.08,0.52631,0.3257,0.87345,0.97571,0.9,0.97434,0.59163,1.37934,0.63263,1.18788,0.0004259,0.0004259,0.0004259
161,1893.95,0.53105,0.32101,0.87363,0.94999,0.91,0.96967,0.58639,1.38661,0.67407,1.18632,0.000416,0.000416,0.000416
162,1906.1,0.52936,0.3275,0.87674,0.94505,0.89,0.96588,0.57742,1.38403,0.71305,1.19234,0.0004061,0.0004061,0.0004061
163,1916.38,0.54541,0.32913,0.88518,0.96372,0.9,0.96493,0.58341,1.41333,0.65088,1.19942,0.0003962,0.0003962,0.0003962
164,1929.26,0.52454,0.33191,0.87566,0.96059,0.92,0.97395,0.60129,1.38839,0.65248,1.17848,0.0003863,0.0003863,0.0003863
